"Weights: [50, 0.5] ; MSE: 3631.067445492794"
"Weights: [10, 0.1] ; MSE: 2096.67309336799"
"Weights: [5, 0.05] ; MSE: 2129.871013368925"
"Weights: [1, 0.01] ; MSE: 2192.428903612318"
"Weights: [0.5, 0.005] ; MSE: 2202.4986120329077"
"Weights: [0.1, 0.001] ; MSE: 2210.914374311805"
"Weights: [0.01, 0.0001] ; MSE: 2212.852020278505"
"Weights: [30, 0.3] ; MSE: 2463.875222289885"
"Weights: [25, 0.25] ; MSE: 2297.075618720567"
"Weights: [35, 0.35] ; MSE: 2680.674206751767"
"Weights: [40, 0.4] ; MSE: 2947.4725721062123"
"Weights: [60, 0.6] ; MSE: 4514.659842449626"
"Weights: [45, 0.45] ; MSE: 3264.2703183532212"
"Weights: [55, 0.55] ; MSE: 4047.8639535249285"
"Weights: [20, 0.2] ; MSE: 2180.2753960438113"
"Weights: [15, 0.15] ; MSE: 2113.474554259619"
"Weights: [0.01, 50] ; MSE: 426.0611476318819"
"Weights: [0.01, 30] ; MSE: 661.2954798837243"
"Weights: [0.01, 45] ; MSE: 424.9341001291119"
"Weights: [0.01, 48] ; MSE: 420.81547818551553"
"Weights: [0.01, 49] ; MSE: 422.6391711678222"
"Weights: [0.01, 47] ; MSE: 420.59006868496135"
"Weights: [0.01, 46] ; MSE: 421.96294266616025"
"Weights: [0.01, 44] ; MSE: 429.5035410738163"
"Weights: [0.01, 42] ; MSE: 443.43727340848375"
"Weights: [0.01, 47.5] ; MSE: 420.5029880000193"
"Weights: [0.01, 47.4] ; MSE: 420.48843846737265"
"Weights: [0.01, 47.45] ; MSE: 420.49371537934377"
"Weights: [0.01, 47.35] ; MSE: 420.4871572641059"
"Weights: [0.01, 47.36] ; MSE: 420.4870938480629"
